Latitude,Longitude,Hour_in_the_year,Year,Slope_elevation_angle,Slope_azimuth_angle,cos_i
-13.092,-70.71,10,2011,60.806,-36.587,0.78453
-13.092,-70.71,6093,2011,60.806,-36.587,-0.63485
-13.092,-70.71,3760,2011,60.806,-36.587,-0.61393
-13.092,-70.71,4449,2011,60.806,-36.587,0.23033
-13.092,-70.71,7263,2011,60.806,-36.587,-0.031942
-13.092,-70.71,4568,2011,60.806,-36.587,0.26351
-13.092,-70.71,4783,2011,60.806,-36.587,0.27132
-13.092,-70.71,7895,2011,60.806,-36.587,-0.07394
-13.092,-70.71,5178,2011,60.806,-36.587,-0.74491
-13.092,-70.71,7096,2011,60.806,-36.587,-0.1998
-13.092,-70.71,2117,2011,28.994,-28.911,0.034316
-13.092,-70.71,5775,2011,28.994,-28.911,0.21606
-13.092,-70.71,5560,2011,28.994,-28.911,-0.0048202
-13.092,-70.71,269,2011,28.994,-28.911,0.28306
-13.092,-70.71,4996,2011,28.994,-28.911,-0.33067
-13.092,-70.71,5406,2011,28.994,-28.911,0.12188
-13.092,-70.71,8308,2011,28.994,-28.911,0.15182
-13.092,-70.71,3551,2011,28.994,-28.911,-0.95482
-13.092,-70.71,8456,2011,28.994,-28.911,0.81751
-13.092,-70.71,4286,2011,28.994,-28.911,0.21924
-13.092,-70.71,1888,2011,23.385,121.25,0.73653
-13.092,-70.71,5876,2011,23.385,121.25,-0.24998
-13.092,-70.71,4112,2011,23.385,121.25,0.2199
-13.092,-70.71,6714,2011,23.385,121.25,0.21594
-13.092,-70.71,8125,2011,23.385,121.25,0.92697
-13.092,-70.71,1042,2011,23.385,121.25,0.63893
-13.092,-70.71,799,2011,23.385,121.25,-0.063821
-13.092,-70.71,2562,2011,23.385,121.25,0.26013
-13.092,-70.71,3881,2011,23.385,121.25,0.46598
-13.092,-70.71,2009,2011,23.385,121.25,0.53086
-13.092,-70.71,7770,2011,71.215,22.83,0.63961
-13.092,-70.71,3013,2011,71.215,22.83,-0.037812
-13.092,-70.71,1726,2011,71.215,22.83,0.11389
-13.092,-70.71,427,2011,71.215,22.83,0.62095
-13.092,-70.71,1114,2011,71.215,22.83,0.12049
-13.092,-70.71,2662,2011,71.215,22.83,-0.14121
-13.092,-70.71,1521,2011,71.215,22.83,-0.071015
-13.092,-70.71,3432,2011,71.215,22.83,-0.4648
-13.092,-70.71,7566,2011,71.215,22.83,-0.050123
-13.092,-70.71,6143,2011,71.215,22.83,-0.11001
-13.092,-70.71,2448,2011,77.614,-54.464,-0.11604
-13.092,-70.71,1230,2011,77.614,-54.464,0.89357
-13.092,-70.71,3256,2011,77.614,-54.464,-0.84679
-13.092,-70.71,8709,2011,77.614,-54.464,-0.30027
-13.092,-70.71,2929,2011,77.614,-54.464,0.028276
-13.092,-70.71,7429,2011,77.614,-54.464,-0.066136
-13.092,-70.71,6499,2011,77.614,-54.464,-0.74485
-13.092,-70.71,700,2011,77.614,-54.464,0.808
-13.092,-70.71,6940,2011,77.614,-54.464,0.79328
-13.092,-70.71,6396,2011,77.614,-54.464,-0.0016006
-13.092,-70.71,10,2011,10.591,-18.293,0.93284
-13.092,-70.71,6093,2011,10.591,-18.293,-0.76944
-13.092,-70.71,3760,2011,10.591,-18.293,0.16438
-13.092,-70.71,4449,2011,10.591,-18.293,0.51414
-13.092,-70.71,7263,2011,10.591,-18.293,0.58102
-13.092,-70.71,4568,2011,10.591,-18.293,0.35893
-13.092,-70.71,4783,2011,10.591,-18.293,0.17386
-13.092,-70.71,7895,2011,10.591,-18.293,-0.71767
-13.092,-70.71,5178,2011,10.591,-18.293,-0.21309
-13.092,-70.71,7096,2011,10.591,-18.293,0.36021
-13.092,-70.71,2117,2011,63.868,-163.74,0.1654
-13.092,-70.71,5775,2011,63.868,-163.74,0.33536
-13.092,-70.71,5560,2011,63.868,-163.74,0.21117
-13.092,-70.71,269,2011,63.868,-163.74,-0.17324
-13.092,-70.71,4996,2011,63.868,-163.74,0.18122
-13.092,-70.71,5406,2011,63.868,-163.74,0.46357
-13.092,-70.71,8308,2011,63.868,-163.74,-0.31495
-13.092,-70.71,3551,2011,63.868,-163.74,-0.34069
-13.092,-70.71,8456,2011,63.868,-163.74,0.22419
-13.092,-70.71,4286,2011,63.868,-163.74,0.64312
-13.092,-70.71,1888,2011,43.719,-69.776,-0.2733
-13.092,-70.71,5876,2011,43.719,-69.776,-0.94737
-13.092,-70.71,4112,2011,43.719,-69.776,0.66889
-13.092,-70.71,6714,2011,43.719,-69.776,-0.68374
-13.092,-70.71,8125,2011,43.719,-69.776,0.48833
-13.092,-70.71,1042,2011,43.719,-69.776,0.95146
-13.092,-70.71,799,2011,43.719,-69.776,0.88137
-13.092,-70.71,2562,2011,43.719,-69.776,-0.75763
-13.092,-70.71,3881,2011,43.719,-69.776,-0.62935
-13.092,-70.71,2009,2011,43.719,-69.776,-0.50874
-13.092,-70.71,7770,2011,68.819,94.936,0.81944
-13.092,-70.71,3013,2011,68.819,94.936,0.63836
-13.092,-70.71,1726,2011,68.819,94.936,0.11041
-13.092,-70.71,427,2011,68.819,94.936,0.73562
-13.092,-70.71,1114,2011,68.819,94.936,-0.12668
-13.092,-70.71,2662,2011,68.819,94.936,0.061465
-13.092,-70.71,1521,2011,68.819,94.936,-0.36986
-13.092,-70.71,3432,2011,68.819,94.936,-0.42333
-13.092,-70.71,7566,2011,68.819,94.936,-0.82351
-13.092,-70.71,6143,2011,68.819,94.936,-0.20885
-13.092,-70.71,2448,2011,2.4514,-90.03,-0.99092
-13.092,-70.71,1230,2011,2.4514,-90.03,0.10188
-13.092,-70.71,3256,2011,2.4514,-90.03,0.27535
-13.092,-70.71,8709,2011,2.4514,-90.03,-0.60934
-13.092,-70.71,2929,2011,2.4514,-90.03,-0.92718
-13.092,-70.71,7429,2011,2.4514,-90.03,0.90468
-13.092,-70.71,6499,2011,2.4514,-90.03,-0.3898
-13.092,-70.71,700,2011,2.4514,-90.03,-0.34512
-13.092,-70.71,6940,2011,2.4514,-90.03,-0.28574
-13.092,-70.71,6396,2011,2.4514,-90.03,0.96463
-8.0157,-9.4402,10,2011,40.711,-74.419,0.96048
-8.0157,-9.4402,6093,2011,40.711,-74.419,-0.97815
-8.0157,-9.4402,3760,2011,40.711,-74.419,-0.36237
-8.0157,-9.4402,4449,2011,40.711,-74.419,0.77716
-8.0157,-9.4402,7263,2011,40.711,-74.419,-0.022549
-8.0157,-9.4402,4568,2011,40.711,-74.419,0.7533
-8.0157,-9.4402,4783,2011,40.711,-74.419,0.67692
-8.0157,-9.4402,7895,2011,40.711,-74.419,-0.6389
-8.0157,-9.4402,5178,2011,40.711,-74.419,-0.73003
-8.0157,-9.4402,7096,2011,40.711,-74.419,-0.27115
-8.0157,-9.4402,2117,2011,45.913,12.427,-0.31047
-8.0157,-9.4402,5775,2011,45.913,12.427,0.3619
-8.0157,-9.4402,5560,2011,45.913,12.427,0.21363
-8.0157,-9.4402,269,2011,45.913,12.427,0.042642
-8.0157,-9.4402,4996,2011,45.913,12.427,-0.63531
-8.0157,-9.4402,5406,2011,45.913,12.427,-0.29999
-8.0157,-9.4402,8308,2011,45.913,12.427,-0.031771
-8.0157,-9.4402,3551,2011,45.913,12.427,-0.81206
-8.0157,-9.4402,8456,2011,45.913,12.427,0.5219
-8.0157,-9.4402,4286,2011,45.913,12.427,0.21453
-8.0157,-9.4402,1888,2011,25.634,137.06,0.67952
-8.0157,-9.4402,5876,2011,25.634,137.06,-0.27821
-8.0157,-9.4402,4112,2011,25.634,137.06,0.3488
-8.0157,-9.4402,6714,2011,25.634,137.06,0.13219
-8.0157,-9.4402,8125,2011,25.634,137.06,0.8327
-8.0157,-9.4402,1042,2011,25.634,137.06,0.62687
-8.0157,-9.4402,799,2011,25.634,137.06,-0.058447
-8.0157,-9.4402,2562,2011,25.634,137.06,0.23175
-8.0157,-9.4402,3881,2011,25.634,137.06,0.48334
-8.0157,-9.4402,2009,2011,25.634,137.06,0.47416
-8.0157,-9.4402,7770,2011,42.593,79.759,0.58702
-8.0157,-9.4402,3013,2011,42.593,79.759,0.80547
-8.0157,-9.4402,1726,2011,42.593,79.759,-0.32431
-8.0157,-9.4402,427,2011,42.593,79.759,0.46542
